DST1003*21  X220   0  -7  -8  -9  -9  -8  -7  -6  -5  -5  -7  -7  -6  -6  -5  -4  -4  -3  -4  -3  -3  -4  -5  -4  -3  -6
DST1003*22  X220   0  -2  -3  -3  -4  -2   0   0   0   0   0   0   1   1   1   0   2   1   1   3   5   5   4   3   2   1
DST1003*23  X220   0   3   3   5   4   4   3   3   4   4   2   2   0  -2   0   2   1   0   0   0   0  -1   0   1   2   2
DST1003*24  X220   0   1  -1   0   1   2   4   6   8   9   7   4   2   3   6   3   0  -3  -3  -3  -4  -6  -5  -4  -2   1
DST1003*25  X220   0   1   0  -2  -5  -6  -6  -2   4   6   7   7  10  16  16  11  14  20  15   1  -6  -7  -4  -1   0   4
DST1003*26  X220   0   1   1  -1  -3  -4  -5  -7  -8  -7  -6  -8 -10  -8  -4  -1  -1  -1   1   3   2   3   1  -4  -7  -3
DST1003*27  X220   0  -9  -7  -6   2  -2   0   2   2   3   4   4   3   3   5   8   6   6   5   6   6   6   3   1   2   2
DST1003*28  X220   0   2   2   2  -1 -13 -23 -27 -20 -13  -7  -8 -11 -12 -15 -11  -9  -9  -8  -8  -9  -9  -9 -11 -11 -10
DST1003*29  X220   0 -10 -10  -9  -5  -5  -5  -5  -3   0   1   1   4   8   8   6   4   1  -1  -2  -4  -7  -9 -10  -8  -3
DST1003*30  X220   0  -9  -7  -6  -5  -4  -7  -5  -8  -8  -8  -9  -9  -7  -6  -7  -6  -7  -4  -2  -4  -5 -15 -14 -11  -7
DST1003*31  X220   0 -10 -10 -10 -11 -13 -11  -9 -10 -10 -15 -15 -13 -12  -9  -8 -11 -12  -7  -3  -3  -3   1   1   5  -8
DST1004*01  X220   0  -3 -20 -16 -12  -9 -11  -8  -4  -4  -6 -11 -19 -23 -24 -20 -21 -23 -21 -19 -18 -19 -22 -24 -21 -16
DST1004*02  X220   0 -22 -23 -24 -25 -29 -30 -30 -16 -15 -15 -25 -24 -20 -13 -10 -12  -8  -8  -8  -9 -22 -32 -33 -28 -20
DST1004*03  X220   0 -23 -17 -14 -13 -12  -9 -10  -9 -13 -11 -10 -10 -11 -10  -6 -10 -16 -14 -19 -19 -16 -16 -15 -17 -13
DST1004*04  X220   0 -17 -16 -11 -12 -12 -14 -19 -21 -19 -18 -19 -22 -24 -21 -17 -16 -17 -15 -19 -21 -21 -16 -19 -25 -18
DST1004*05  X220   0 -27 -22 -19 -18 -18 -19 -20 -19  -7 -20 -41 -36 -16 -29 -43 -55 -51 -46 -37 -46 -44 -44 -50 -61 -33
DST1004*06  X220   0 -64 -54 -63 -68 -59 -65 -71 -76 -75 -70 -68 -70 -75 -79 -81 -74 -67 -64 -69 -68 -72 -70 -72 -68 -69
DST1004*07  X220   0 -65 -57 -48 -43 -41 -42 -49 -53 -46 -42 -40 -35 -43 -42 -43 -50 -54 -54 -46 -47 -48 -50 -46 -44 -47
